Value_at_n;expected_delta_value;transition_entropy;total
0.833;-0.29;2.5;15.0
1.0;-0.27;2.1;47.0
0.667;-0.13;2.1;14.0
0.333;-0.06;2.1;22.0
0.167;0.05;2.1;35.0
0.5;-0.16;2.4;23.0
0.0;0.13;1.6;24.0
