chain number;generation number;chain type;learner type;number of correct answers in test 1;words not in the bottleneck;participant sex;participant age
16;1;l2;l1;16;;M;31
16;2;l2;l2;13;;M;30
16;3;l2;l2;15;;M;32
16;4;l2;l2;13;;M;27
16;5;l2;l1;13;;F;16
16;6;l2;l1;15;;F;24
16;7;l2;l1;16;;M;39
16;8;l2;l1;15;;M;40
16;9;l2;l1;15;;F;26
16;10;l2;l1;16;;F;21
17;0;l2;;;;;
17;1;l2;l1;15;;F;44
17;2;l2;l2;15;;M;32
17;3;l2;l2;6;;F;16
17;4;l2;l2;10;;M;20
17;5;l2;l1;15;;F;19
17;6;l2;l1;15;;M;41
17;7;l2;l1;9;;M;23
17;8;l2;l1;14;;M;25
17;9;l2;l1;11;;F;34
17;10;l2;l1;7;;M;19
18;0;l2;;;;;
18;1;l2;l1;16;;M;43
18;2;l2;l2;6;;M;36
18;3;l2;l2;10;;M;20
18;4;l2;l2;12;;M;40
18;5;l2;l1;11;;F;17
18;6;l2;l1;16;;F;19
18;7;l2;l1;9;;M;31
18;8;l2;l1;16;;M;22
18;9;l2;l1;13;;M;58
18;10;l2;l1;16;;M;31
19;0;l2;;;;;
19;1;l2;l1;16;;F;23
19;2;l2;l2;16;;F;46
19;3;l2;l2;14;;M;27
19;4;l2;l2;16;;F;24
19;5;l2;l1;16;;M;30
19;6;l2;l1;15;;M;22
19;7;l2;l1;13;;F;28
19;8;l2;l1;14;;M;27
19;9;l2;l1;16;;M;30
19;10;l2;l1;16;;M;39
20;0;l2;;;;;
20;1;l2;l1;15;;M;26
20;2;l2;l2;16;;M;25
20;3;l2;l2;16;;M;24
20;4;l2;l2;16;;M;29
20;5;l2;l1;16;;M;35
20;6;l2;l1;12;;M;41
20;7;l2;l1;15;;M;33
20;8;l2;l1;16;;M;28
20;9;l2;l1;14;;M;26
20;10;l2;l1;15;;M;33
21;0;l2;;;;;
21;1;l2;l1;15;;M;34
21;2;l2;l2;12;;F;54
21;3;l2;l2;14;;M;21
21;4;l2;l2;16;;F;38
21;5;l2;l1;16;;F;22
21;6;l2;l1;12;;M;26
21;7;l2;l1;14;;F;43
21;8;l2;l1;14;;F;21
21;9;l2;l1;14;;M;36
21;10;l2;l1;15;;M;21
22;0;l2;;;;;
22;1;l2;l1;15;;M;30
22;2;l2;l2;14;;M;40
22;3;l2;l2;9;;M;22
22;4;l2;l2;11;;M;59
22;5;l2;l1;16;;F;16
22;6;l2;l1;16;;F;19
22;7;l2;l1;16;;M;26
22;8;l2;l1;15;;M;42
22;9;l2;l1;10;;M;51
22;10;l2;l1;14;;M;35
23;0;l2;;;;;
23;1;l2;l1;16;;M;20
23;2;l2;l2;16;;F;28
23;3;l2;l2;16;;M;33
23;4;l2;l2;16;;M;34
23;5;l2;l1;15;;M;30
23;6;l2;l1;16;;F;28
23;7;l2;l1;14;;M;31
23;8;l2;l1;15;;M;18
23;9;l2;l1;14;;F;36
23;10;l2;l1;15;;M;32
24;0;l2;;;;;
24;1;l2;l1;16;;M;41
24;2;l2;l2;15;;M;30
24;3;l2;l2;14;;M;39
24;4;l2;l2;14;;M;29
24;5;l2;l1;16;;M;31
24;6;l2;l1;14;;F;28
24;7;l2;l1;16;;M;25
